-183.782, 80.012, 0.379,  1.765
-183.780, 80.000, 0.372,  1.798
-183.779, 79.986, 0.410,  1.831
-183.777, 79.972, 0.442,  1.864
-183.776, 79.957, 0.446,  1.897
-183.774, 79.943, 0.427,  1.930
-183.773, 79.928, 0.432,  1.963
-183.771, 79.915, 0.424,  1.996
-183.770, 79.899, 0.457,  2.029
-183.768, 79.884, 0.468,  2.062
-183.766, 79.868, 0.458,  2.095
-183.765, 79.852, 0.506,  2.128
-183.763, 79.833, 0.553,  2.161
-183.761, 79.815, 0.579,  2.194
-183.758, 79.795, 0.595,  2.227
-183.756, 79.774, 0.615,  2.260
-183.754, 79.755, 0.592,  2.293
-183.752, 79.736, 0.576,  2.326
-183.750, 79.717, 0.564,  2.359
-183.748, 79.698, 0.562,  2.392
-183.746, 79.679, 0.607,  2.425
-183.744, 79.658, 0.618,  2.458
-183.741, 79.637, 0.628,  2.491
-183.739, 79.617, 0.611,  2.524
-183.737, 79.597, 0.616,  2.557
-183.735, 79.576, 0.642,  2.590
-183.732, 79.555, 0.649,  2.623
-183.730, 79.533, 0.644,  2.656
-183.727, 79.512, 0.652,  2.689
-183.725, 79.490, 0.647,  2.722
-183.722, 79.468, 0.665,  2.755
-183.720, 79.446, 0.703,  2.788
-183.717, 79.422, 0.731,  2.821
-183.715, 79.398, 0.739,  2.854
-183.712, 79.373, 0.761,  2.887
-183.709, 79.348, 0.768,  2.920
-183.706, 79.323, 0.786,  2.953
-183.703, 79.297, 0.792,  2.986
-183.700, 79.271, 0.810,  3.019
-183.697, 79.245, 0.815,  3.052
-183.694, 79.218, 0.825,  3.085
-183.691, 79.191, 0.832,  3.118
-183.688, 79.163, 0.821,  3.151
-183.685, 79.136, 0.816,  3.184
-183.682, 79.109, 0.812,  3.217
-183.678, 79.083, 0.810,  3.250
-183.675, 79.056, 0.811,  3.283
-183.672, 79.029, 0.813,  3.316
-183.669, 79.002, 0.816,  3.349
-183.666, 78.975, 0.821,  3.382
-183.662, 78.948, 0.827,  3.415
-183.659, 78.920, 0.833,  3.448
-183.656, 78.892, 0.841,  3.481
-183.652, 78.864, 0.849,  3.514
-183.649, 78.836, 0.857,  3.547
-183.646, 78.807, 0.866,  3.580
-183.642, 78.778, 0.875,  3.613
-183.639, 78.749, 0.888,  3.646
-183.635, 78.719, 0.899,  3.679
-183.631, 78.689, 0.910,  3.712
-183.628, 78.659, 0.922,  3.745
-183.624, 78.628, 0.933,  3.778
-183.620, 78.597, 0.945,  3.811
-183.616, 78.565, 0.957,  3.844
-183.612, 78.533, 0.969,  3.877
-183.608, 78.501, 0.981,  3.910
-183.604, 78.468, 0.993,  3.943
-183.600, 78.435, 1.004,  3.976
-183.596, 78.401, 1.016,  4.009
-183.592, 78.367, 1.027,  4.042
-183.588, 78.333, 1.038,  4.075
-183.584, 78.298, 1.049,  4.108
-183.579, 78.263, 1.060,  4.141
-183.575, 78.228, 1.071,  4.174
-183.571, 78.192, 1.082,  4.207
-183.566, 78.156, 1.093,  4.240
-183.562, 78.120, 1.104,  4.273
-183.557, 78.083, 1.115,  4.306
-183.553, 78.046, 1.125,  4.339
-183.548, 78.008, 1.136,  4.372
-183.544, 77.970, 1.146,  4.405
-183.539, 77.932, 1.157,  4.438
-183.534, 77.893, 1.167,  4.471
-183.529, 77.855, 1.177,  4.504
-183.525, 77.815, 1.188,  4.537
-183.520, 77.776, 1.198,  4.570
-183.515, 77.736, 1.208,  4.603
-183.510, 77.696, 1.218,  4.636
-183.505, 77.655, 1.228,  4.669
-183.500, 77.614, 1.237,  4.702
-183.495, 77.573, 1.247,  4.735
-183.490, 77.532, 1.257,  4.768
-183.485, 77.490, 1.266,  4.801
-183.479, 77.448, 1.276,  4.834
-183.474, 77.405, 1.285,  4.867
-183.469, 77.363, 1.295,  4.900
-183.464, 77.319, 1.304,  4.933
-183.458, 77.276, 1.313,  4.966
-183.453, 77.232, 1.322,  4.999
-183.448, 77.188, 1.331,  5.032
-183.442, 77.144, 1.340,  5.065
-183.437, 77.100, 1.349,  5.098
-183.432, 77.055, 1.358,  5.131
-183.426, 77.010, 1.367,  5.164
-183.421, 76.964, 1.376,  5.197
-183.415, 76.918, 1.385,  5.230
-183.410, 76.872, 1.393,  5.263
-183.404, 76.826, 1.402,  5.296
-183.398, 76.779, 1.410,  5.329
-183.393, 76.733, 1.419,  5.362
-183.387, 76.685, 1.427,  5.395
-183.382, 76.638, 1.435,  5.428
-183.376, 76.590, 1.444,  5.461
-183.370, 76.542, 1.452,  5.494
-183.364, 76.494, 1.460,  5.527
-183.359, 76.445, 1.468,  5.560
-183.353, 76.397, 1.476,  5.593
-183.347, 76.348, 1.485,  5.626
-183.342, 76.298, 1.493,  5.659
-183.336, 76.249, 1.500,  5.692
-183.330, 76.199, 1.508,  5.725
-183.324, 76.149, 1.516,  5.758
-183.318, 76.098, 1.524,  5.791
-183.312, 76.048, 1.532,  5.824
-183.307, 75.997, 1.540,  5.857
-183.301, 75.945, 1.547,  5.890
-183.295, 75.894, 1.555,  5.923
-183.289, 75.842, 1.563,  5.956
-183.283, 75.790, 1.570,  5.989
-183.277, 75.738, 1.578,  6.022
